,Object,RA,DEC,Class
100,AM 0548-330,05 49 53.3800,-33 01 41.400,PRG
101,AM 0552-462,05 53 56.7000,-46 28 40.400,PRG
102,AM 0602-575,06 00 21.4400,-57 56 21.300,PRG
103,AM 0609-323,06 10 59.4200,-32 34 07.600,PRG
104,AM 0611-430,06 13 03.9200,-43 10 34.300,PRG
105,AM 0625-252,06 27 02.0000,-25 22 50.000,PRG
106,AM 0628-632,06 28 57.9000,-63 29 39.700,PRG
107,AM 0634-292,06 34 22,-29 27.8,PRG
108,AM 0642-645,06 42 33.3700,-64 59 24.500,PRG
109,AM 0642-801,06 38 33.6447,-80 14 52.407,PRG
110,AM 0643-462,06 45 03.4800,-46 26 56.200,PRG
111,AM 0644-741,06 43 06.1000,-74 13 35.000,PRG
112,AM 0656-745,06 55 28.7700,-75 02 06.300,PRG
113,AM 0657-393,06 58 56.0956,-39 42 11.313,PRG
114,AM 0712-513,07 13 18.9000,-51 42 48.000,PRG
115,AM 0719-625,07 19 57.3100,-63 04 01.300,PRG
116,AM 0755-785,07 53 31.2900,-79 06 28.040,PRG
117,AM 0814-760,08 13 31.6500,-76 17 29.200,PRG
118,AM 0827-845,08 19 22.1400,-85 08 35.900,PRG
119,AM 0828-844,08 20 30.4100,-84 58 35.900,PRG
120,AM 0858-730,08 58 39.5700,-73 19 36.700,PRG
121,AM 0931-324,09 33 21.5100,-33 02 00.600,PRG
122,AM 0957-335,10 00 05.4000,-34 13 41.800,PRG
123,AM 1003-215,10 05 43.4000,-22 05 49.000,PRG
124,AM 1006-380,10 09 06.9977,-38 24 04.149,PRG
125,AM 1008-392,10 11 02.1600,-39 41 36.500,PRG
126,AM 1011-284,10 14 11.4600,-28 56 31.300,PRG
127,AM 1013-271,10 15 23.3867,-27 25 15.506,PRG
128,AM 1024-234,10 26 56.2900,-24 05 21.200,PRG
129,AM 1025-370,10 27 13.8000,-37 25 17.000,PRG
130,AM 1036-300,10 39 14.1525,-30 17 44.989,PRG
131,AM 1045-245,10 48 23.4600,-25 09 43.400,PRG
132,AM 1057-282,11 00 22.8100,-28 45 44.700,PRG
133,AM 1101-354,11 03 29.2000,-36 04 23.200,PRG
134,AM 1110-251,11 12 58.0996,-25 35 14.235,PRG
135,AM 1116-274,11 18 35.2900,-27 59 58.600,PRG
136,AM 1118-425,11 20 48.0100,-43 15 50.400,PRG
137,AM 1118-425,11 18 27,-42 58.6,PRG
138,AM 1125-285,11 27 32.4700,-29 10 40.200,PRG
139,AM 1132-324,11 35 20.4200,-33 02 03.300,PRG
140,AM 1133-245,11 35 30.9400,-25 08 42.100,PRG
141,AM 1135-284,11 37 42.3700,-29 05 00.400,PRG
142,AM 1142-272,11 44 58.9800,-27 41 27.100,PRG
143,AM 1149-420,11 49 57,-42 00.8,PRG
144,AM 1152-421,11 55 21.7700,-42 29 16.700,PRG
145,AM 1159-530,12 01 36.1800,-53 21 27.500,PRG
146,AM 1203-275,12 06 28.7000,-28 11 07.000,PRG
147,AM 1205-300,12 07 57.4100,-30 20 22.100,PRG
148,AM 1205-460,12 08 12.6000,-46 18 10.000,PRG
149,AM 1220-445,12 23 26.7000,-45 11 50.000,PRG
150,AM 1231-345,12 33 48.4000,-35 06 53.200,PRG
151,AM 1231-345,12 31 26,-34 51.5,PRG
152,AM 1233-424,12 35 58.4200,-43 01 02.200,PRG
153,AM 1235-432,12 37 43.7900,-43 37 16.100,PRG
154,AM 1238-362,12 40 49.5000,-36 44 38.000,PRG
155,AM 1247-253,12 50 02.3200,-25 55 14.500,PRG
156,AM 1249-462,12 52 39.0500,-46 38 58.900,PRG
157,AM 1251-283,12 54 42.8000,-28 52 07.000,PRG
158,AM 1258-352,13 01 05.4000,-35 36 59.600,PRG
159,AM 1300-412,13 03 00.4200,-41 42 15.400,PRG
160,AM 1303-235,13 06 24.0000,-24 09 50.600,PRG
161,AM 1307-461,13 10 04.4300,-46 26 14.400,PRG
162,AM 1308-253,13 11 08.8800,-25 53 58.600,PRG
163,AM 1311-373,13 14 03.6000,-37 47 48.900,PRG
164,AM 1312-222,13 15 41.3029,-22 44 18.377,PRG
165,AM 1320-265,13 23 05.9400,-27 12 25.000,PRG
166,AM 1321-375,13 24 48.6400,-38 06 46.900,PRG
167,AM 1323-222,13 26 20.4759,-22 37 53.333,PRG
168,AM 1323-293,13 26 47.2200,-29 52 52.900,PRG
169,AM 1324-250,13 27 23.3193,-25 23 32.628,PRG
170,AM 1325-251,13 27 58.2100,-25 31 48.600,PRG
171,AM 1332-300,13 35 50.3858,-30 24 25.506,PRG
172,AM 1338-232,13 40 55.9775,-23 36 09.308,PRG
173,AM 1340-254,13 43 21.8300,-25 55 56.400,PRG
174,AM 1344-215,13 47 10.3440,-22 07 01.960,PRG
175,AM 1352-280,13 54 54.6400,-28 22 08.600,PRG
176,AM 1354-250,13 57 13.9200,-25 14 44.900,PRG
177,AM 1354-265,13 57 21.9500,-27 10 22.100,PRG
178,AM 1358-221,14 01 25.8170,-22 34 19.615,PRG
179,AM 1408-364,14 11 43.1200,-37 01 11.200,PRG
180,AM 1413-243,14 16 09.5200,-24 50 31.000,PRG
181,AM 1414-235,14 17 39.4300,-24 11 00.300,PRG
182,AM 1434-783,14 40 27.9600,-78 48 33.200,PRG
183,AM 1440-365,14 40 41,-36 54.3,PRG
184,AM 1444-221,14 47 03.0139,-22 32 07.864,PRG
185,AM 1452-234,14 55 09.8600,-23 58 10.000,PRG
186,AM 1452-252,14 55 38.9200,-25 37 57.160,PRG
187,AM 1457-403,15 00 34.1600,-40 48 36.600,PRG
188,AM 1514-362,15 17 54.8000,-36 34 09.000,PRG
189,AM 1535-680,15 40 28.5240,-68 08 38.170,PRG
190,AM 1627-824,16 35 57.0200,-82 50 17.600,PRG
191,AM 1646-795,16 54 40.0000,-80 04 03.000,PRG
192,AM 1654-782,17 02 01.2600,-78 27 16.200,PRG
193,AM 1724-622,17 29 17.5096,-62 27 49.105,PRG
194,AM 1803-510,18 07 15.9600,-51 01 10.700,PRG
195,AM 1817-772,18 25 46.4600,-77 23 17.800,PRG
196,AM 1827-625,18 32 02.7000,-62 55 44.000,PRG
197,AM 1845-785,18 54 40.3000,-78 53 54.200,PRG
198,AM 1854-490,18 58 06.7700,-49 00 40.700,PRG
199,AM 1939-515,19 43 14.5500,-51 48 27.000,PRG
200,AM 1947-445,19 51 23.4570,-44 51 37.587,PRG
