Object,RA,DEC,Class
AM 1013-271,10 13 05,-27 10.3,PRG
AM 1024-234,10 24 33,-23 49.9,PRG
AM 1025-370,10 25 00,-37 09.6,PRG
AM 1036-300,10 36 54,-30 02.1,PRG
AM 1045-245,10 45 59,-24 53.9,PRG
AM 1057-282,10 57 58,-28 29.6,PRG
AM 1101-354,11 01 07,-35 48.3,PRG
AM 1110-251,11 10 31,-25 18.9,PRG
AM 1116-274,11 16 08,-27 43.3,PRG
AM 1118-425,11 18 24,-42 59.8,PRG
AM 1118-425,11 18 27,-42 58.6,PRG
AM 1125-285,11 25 03,-28 54.1,PRG
AM 1132-324,11 32 51,-32 45.4,PRG
AM 1133-245,11 33 01,-24 52.3,PRG
AM 1135-284,11 35 12,-28 48.0,PRG
AM 1142-272,11 42 28,-27 24.8,PRG
AM 1149-420,11 49 57,-42 00.8,PRG
AM 1152-421,11 52 50,-42 12.6,PRG
AM 1159-530,11 59 01,-53 04.9,PRG
AM 1203-275,12 03 51,-27 53.7,PRG
AM 1205-300,12 05 23,-30 03.6,PRG
AM 1205-460,12 05 29,-46 00.9,PRG
AM 1220-445,12 20 47,-44 55.1,PRG
AM 1231-345,12 31 07,-34 50.0,PRG
AM 1231-345,12 31 26,-34 51.5,PRG
AM 1233-424,12 33 16,-42 44.8,PRG
AM 1235-432,12 35 00,-43 20.8,PRG
AM 1238-362,12 38 10,-36 28.8,PRG
AM 1247-253,12 47 21,-25 38.8,PRG
AM 1249-462,12 49 48,-46 23.0,PRG
AM 1251-283,12 51 58,-28 36.5,PRG
AM 1258-352,12 58 20,-35 21.0,PRG
AM 1300-412,13 00 17,-41 26.9,PRG
AM 1303-235,13 03 41,-23 53.8,PRG
AM 1307-461,13 07 10,-46 10.2,PRG
AM 1308-253,13 08 25,-25 38.1,PRG
AM 1311-373,13 11 14,-37 31.9,PRG
AM 1312-222,13 12 59,-22 28.3,PRG
AM 1320-265,13 20 19,-26 56.7,PRG
AM 1321-375,13 21 56,-37 51.3,PRG
AM 1323-222,13 23 36,-22 22.3,PRG
AM 1323-293,13 23 59,-29 37.5,PRG
AM 1324-250,13 24 38,-25 08.0,PRG
AM 1325-251,13 25 13,-25 16.3,PRG
AM 1332-300,13 32 59,-30 08.0,PRG
AM 1338-232,13 38 10,-23 21.0,PRG
AM 1340-254,13 40 34,-25 40.9,PRG
AM 1344-215,13 44 12,-21 51.8,PRG
AM 1352-280,13 52 05,-28 05.8,PRG
AM 1354-250,13 54 25,-25 00.2,PRG
AM 1354-265,13 54 32,-26 55.7,PRG
AM 1358-221,13 58 37,-22 19.9,PRG
AM 1408-364,14 08 42,-36 46.8,PRG
AM 1413-243,14 13 19,-24 36.7,PRG
AM 1414-235,14 14 48,-23 57.2,PRG
AM 1434-783,14 34 22,-78 35.7,PRG
AM 1440-365,14 40 41,-36 54.3,PRG
AM 1444-221,14 44 11,-22 19.6,PRG
AM 1452-234,14 52 15,-23 45.9,PRG
AM 1452-252,14 52 42,-25 25.8,PRG
AM 1457-403,14 57 20,-40 36.5,PRG
AM 1514-362,15 14 34,-36 24.1,PRG
AM 1535-680,15 35 39,-68 01.1,PRG
AM 1627-824,16 27 12,-82 45.1,PRG
AM 1646-795,16 46 41,-79 59.6,PRG
AM 1654-782,16 54 26,-78 23.3,PRG
AM 1724-622,17 24 28,-62 23.9,PRG
AM 1803-510,18 03 19,-51 01.8,PRG
AM 1817-772,18 17 28,-77 24.9,PRG
AM 1827-625,18 27 15,-62 58.1,PRG
AM 1845-785,18 45 58,-78 56.6,PRG
AM 1854-490,18 54 17,-49 04.6,PRG
AM 1939-515,19 39 22,-51 55.6,PRG
AM 1947-445,19 47 51,-44 59.3,PRG
AM 1953-260,19 53 27,-26 02.9,PRG
AM 1957-394,19 57 23,-39 47.9,PRG
AM 2001-602,20 01 59,-60 21.4,PRG
AM 2002-563,20 02 51,-56 32.0,PRG
AM 2005-282,20 05 33,-28 25.0,PRG
AM 2006-564,20 06 51,-56 49.5,PRG
AM 2008-543,20 08 29,-54 30.6,PRG
AM 2012-282,20 12 09,-28 27.6,PRG
AM 2020-504,20 20 13,-50 48.7,PRG
AM 2021-724,20 21 16,-72 46.7,PRG
AM 2024-544,20 24 04,-54 47.7,PRG
AM 2026-424,20 26 10,-42 40.2,PRG
AM 2033-260,20 33 24,-26 07.6,PRG
AM 2034-483,20 34 34,-48 34.0,PRG
AM 2036-734,20 36 39,-73 47.8,PRG
AM 2038-323,20 38 08,-32 39.7,PRG
AM 2044-691,20 44 08,-69 16.9,PRG
AM 2046-255,20 46 49,-25 53.3,PRG
AM 2048-440,20 48 29,-44 05.6,PRG
AM 2048-711,20 48 46,-71 12.6,PRG
AM 2049-522,20 49 05,-52 25.1,PRG
AM 2052-260,20 52 22,-26 05.2,PRG
