,Column1,Object,Column3,Column4,Column5,Column6,Column7,RA,DEC,Column10
46,47,01605,05 51 03.7,-80 19 24,P,Interacting triplet,05 47 06.2,-80 18 36
47,48,00506,06 23 33.3,-82 46 33,P,Ellip,"Faint broad ring, off-center nucleus",06 17 20.9,-82 48 02
48,49,00507,06 36 04.9,-85 03 36,P,Ellip,Faint broad ring offcenter nucleus,06 25 49.4,-85 05 51
49,50,00501,06 47 27.0,-87 26 58,O,Spher,"Faint broad ring, Hoag or PN?",06 25 05.4,-87 29 36
50,51,00502,06 47 27.1,-87 31 55,P,Sa(r),Smooth ring or two tight arms?,06 24 14.6,-87 34 31
51,52,00509,06 50 31.9,-85 16 54,O,Ellip,"Ringed?, Saturn?, too close to a very bright star",06 39 46.8,-85 20 10
52,53,01701,07 31 38.4,-81 09 17,O,SBa(r),Broad smooth ring,07 27 32.6,-81 15 39
53,54,01702,07 43 41.0,-80 29 33,P,Ellip,"Faint smooth ring?, off-center nucleus?",07 40 12.1,-80 36 44
54,55,01703,07 49 34.7,-78 01 15,O,SBa(r),"Perturbed ring, arms outside the ring",07 47 26.5,-78 08 52
55,56,00510,07 56 38.9,-84 03 27,O,Spindle,"Bright surface ring, polar?",07 49 40.8,-84 11 22
56,57,00511,08 04 03.5,-82 40 14,P,Ellip,"Faint warped ring?, off-center nucleus, small companion",07 59 04.6,-82 48 41
57,58,00512,08 12 03.4,-82 10 13,P,Ellip,"Faint external ring?, internal ring?, off-center nucleus",08 07 43.1,-82 19 11
58,59,00513,08 13 34.0,-82 28 29,P,Ellip,"Knotted ring, off-center nucleus, close companion",08 08 58.1,-82 37 32
59,60,01704,08 14 26.8,-79 13 27,O,Ellip,Faint smooth ring?,08 12 04.9,-79 22 38
60,61,01705,08 15 21.4,-79 44 09,P,Ellip,"Perturbed ring, two compact interacting companions?, blobs?, knotts?",08 12 45.0,-79 53 23
61,62,00514,08 20 15.8,-83 28 12,P,Ellip,"Warped broad ring?, interacting",08 14 41.6,-83 37 38
62,63,01801,08 24 43.8,-77 41 32,P,SBa(r),Bright warped ring or tight arms faint external material,08 23 07.9,-77 51 21
