Object  RA  DEC  z  Class
SPRC 97  10 17 30.50  +21 21 01.9  0.020952  PRG
SPRC 98  10 18 00.74  +01 21 16.3  0.126390  PRG
SPRC 99  10 34 35.22  +44 46 23.0  0.169004  PRG
SPRC 100  10 35 42.04  +26 07 33.0  0.004653  PRG
SPRC 101  10 36 02.78  +13 10 27.7  -  PRG
SPRC 102  10 41 09.76  +06 49 12.2  0.033350  PRG
SPRC 103  10 43 31.49  +32 15 05.1  0.083029  PRG
SPRC 104  10 45 22.03  +55 57 40.0  0.002500  PRG
SPRC 105  10 48 44.73  +38 46 36.2  0.024916  PRG
SPRC 106  10 52 22.48  +18 07 11.1  0.132068  PRG
SPRC 107  10 54 24.16  +44 30 02.0  0.008112  PRG
SPRC 108  10 55 00.95  +46 30 48.5  0.053789  PRG
SPRC 109  11 08 54.49  +02 40 38.6  0.035881  PRG
SPRC 110  11 09 29.00  -00 00 08.2  0.026398  PRG
SPRC 111  11 17 21.04  +31 14 48.5  0.007094  PRG
SPRC 112  11 19 41.61  +41 01 40.4  0.071324  PRG
SPRC 113  11 35 13.68  +65 01 41.7  0.149461  PRG
SPRC 114  11 35 14.67  +59 49 09.5  0.110898  PRG
SPRC 115  11 43 46.46  +33 42 16.7  0.031229  PRG
SPRC 116  11 45 12.95  +35 05 10.4  0.067296  PRG
SPRC 117  11 51 36.04  +16 39 51.4  0.013428  PRG
SPRC 118  11 52 07.90  +38 01 57.6  0.205469  PRG
SPRC 119  11 52 44.10  +55 43 53.5  0.060467  PRG
SPRC 120  12 03 46.23  +10 27 43.7  0.066955  PRG
SPRC 121  12 15 03.35  +67 02 27.8  0.132656  PRG
SPRC 122  12 18 11.16  +44 09 30.5  0.024815  PRG
SPRC 123  12 46 56.39  +51 36 49.3  0.001659  PRG
SPRC 124  12 50 20.69  +37 56 56.2  0.035168  PRG
SPRC 125  12 57 44.58  +02 41 30.2  0.003060  PRG
SPRC 126  12 58 18.63  +27 18 38.9  0.024720  PRG
SPRC 127  12 58 27.84  +28 58 26.8  0.023800  PRG
SPRC 128  13 18 43.75  +47 43 09.9  0.061840  PRG
SPRC 129  13 23 58.77  -01 45 52.7  0.161719  PRG
SPRC 130  13 33 46.77  +31 34 59.5  0.062320  PRG
SPRC 131  13 34 43.26  +13 02 02.9  0.074177  PRG
SPRC 132  13 45 31.77  +02 58 59.3  0.077640  PRG
SPRC 133  13 47 11.08  +32 53 08.1  0.102582  PRG
SPRC 134  13 50 59.06  +33 43 15.3  0.093304  PRG
SPRC 135  13 57 25.69  +47 27 07.9  0.132140  PRG
SPRC 136  14 04 54.74  +12 42 16.9  0.013834  PRG
SPRC 137  14 09 21.48  +21 48 02.3  0.111767  PRG
SPRC 138  14 10 46.45  +11 51 29.9  0.088921  PRG
SPRC 139  14 11 18.56  +07 23 52.8  0.103655  PRG
SPRC 140  14 11 42.58  +18 40 03.8  0.079761  PRG
SPRC 141  14 20 44.19  +50 00 40.1  0.070526  PRG
SPRC 142  14 22 25.37  +21 08 35.5  0.103665  PRG
SPRC 143  14 24 43.86  +53 51 50.6  0.067749  PRG
SPRC 144  14 25 03.87  +27 29 10.4  0.141309  PRG
SPRC 145  14 28 16.47  +00 00 08.3  0.053046  PRG
SPRC 146  14 32 31.17  +15 29 43.8  0.060583  PRG
SPRC 147  14 41 19.18  +07 47 34.8  0.005913  PRG
SPRC 148  14 41 32.86  +23 42 55.2  0.037351  PRG
SPRC 149  14 46 45.71  +58 30 50.8  0.080003  PRG
