Object  RA  DEC  Class
HRG 12102  06 00 21.4400  -57 56 21.300  PRG
HRG 42501  06 12 21.6100  -28 03 28.300  NRG
HRG 16001  06 14 30.5200  -53 56 29.200  NRG
HRG 48907  06 29 13.9300  -26 29 46.700  PRG
HRG 03401  06 43 06.1000  -74 13 35.000  PRG
HRG 00501  06 24 08.6700  -87 30 07.060  PRG
HRG 00502  06 23 10.1300  -87 35 08.400  NRG
HRG 08901  08 20 26.2700  -65 20 25.700  PRG
HRG 31601  10 08 40.0600  -40 05 36.700  PRG
HRG 56801  10 21 45.1886  -18 24 39.519  NRG
HRG 56802  10 23 48.3420  -21 08 28.178  NRG
HRG 37501  10 29 45.6100  -38 20 54.800  NRG
HRG 31801  10 45 25.3000  -42 31 36.600  PRG
HRG 50201  11 02 31.0000  -26 10 07.400  PRG
HRG 57201  11 43 13.7371  -18 24 04.790  NRG
HRG 57202  11 50 27.5898  -18 34 48.253  NRG
HRG 57203  11 54 55.0100  -22 03 16.700  NRG
HRG 57204  11 59 44.4420  -20 58 15.748  PRG
HRG 57205  12 00 31.3759  -21 19 19.098  NRG
HRG 57206  12 00 43.4100  -20 50 02.200  PRG
HRG 57301  12 24 29.0100  -21 37 52.900  NRG
HRG 32201  12 42 01.0000  -39 49 24.000  PRG
HRG 38301  13 31 43.4800  -33 22 49.000  NRG
HRG 32501  13 48 15.2100  -42 10 19.900  PRG
HRG 51001  14 00 23.7200  -23 18 29.500  PRG
HRG 58201  15 24 03.8500  -18 40 46.880  PRG
HRG 00801  15 44 42.9900  -82 49 13.900  NRG
HRG 10101  16 55 54.7800  -64 30 12.400  PRG
HRG 10102  16 57 10.3200  -64 37 45.800  NRG
HRG 10103  16 58 20.9300  -63 26 08.500  NRG
HRG 10104  17 06 05.8900  -63 27 51.500  PRG
HRG 10105  17 19 04.0100  -63 22 26.400  NRG
HRG 13801  17 29 09.5700  -62 26 44.200  PRG
HRG 10501  19 41 23.9000  -62 33 57.400  NRG
HRG 10502  20 12 26.5500  -65 24 57.500  PRG
HRG 10503  20 19 46.8600  -66 45 42.300  NRG
HRG 02602  20 58 21.8400  -79 22 59.700  PRG
HRG 53001  21 09 04.8800  -26 54 29.400  PRG
HRG 02603  21 36 08.1700  -77 27 32.900  NRG
HRG 23701  22 09 45.8600  -49 47 54.600  PRG 
HRG 23702  22 10 01.3500  -49 40 32.900  NRG
HRG 14601  22 15 03.7500  -58 17 15.100  PRG
HRG 23801  22 20 51.7300  -48 46 29.100  NRG
HRG 02701  22 26 35.4200  -81 13 22.600  NRG
HRG 10901  22 26 54.0900  -63 42 51.900  PRG
HRG 23802  22 33 47.0800  -48 01 29.300  PRG
HRG 02702  23 11 37.3200  -80 36 06.800  NRG
HRG 40701  23 11 16.9600  -32 27 15.400  PRG
HRG 34701  23 15 32.1000  -38 32 08.100  PRG
HRG 10902  23 20 09.8100  -67 08 58.500  PRG
HRG 04901  23 42 26.5900  -76 22 24.400  PRG
