Object,RA,DEC,Class
OA 01101,02 59 52.97,-57 02 39.65,PRG
FM 3-7,03 01 44.41,-82 35 31.31,PRG
AM 0302-504,03 03 23.74,-50 29 52.72,PRG
HRG 08203,03 10 11.49,-62 29 02.66,PRG
OA 03301,03 11 59.59,-25 14 44.82,PRG
AM 0310-252,03 12 17.58,-25 16 55.41,PRG
HRG 08204,03 15 18.88,-64 38 29.64,PRG
AM 0319-542,03 20 38.68,-54 17 44.25,PRG
AM 0320-495,03 21 55.77,-49 48 01.38,PRG
HRG 30101,03 23 54.61,-37 30 36.40,PRG
HRG 11602,03 24 53.00,-60 44 16.93,PRG
A 0323-0430,03 25 56.40,-04 19 57.12,PRG
AM 0329-715,03 29 43.41,-71 45 23.77,PRG
AM 0330-324,03 32 49.11,-32 40 06.44,PRG
AM 0332-324,03 34 57.28,-32 38 25.03,PRG
FM 358-11,03 35 20.22,-32 36 06.95,PRG
A 0336-4905,03 37 57.46,-48 55 39.21,PRG
FM 117-4,03 40 37.78,-62 46 48.39,PRG
FM 358-25,03 43 36.93,-35 51 11.44,PRG
HRG 00405,03 44 18.84,-85 44 20.15,PRG
AM 0345-335,03 47 04.77,-33 42 33.34,PRG
HRG 01404,03 49 47.11,-81 59 24.93,PRG
HRG 00305,03 52 00.40,-83 49 52.51,PRG
A 0351-5458,03 52 49.05,-54 49 48.36,PRG
HRG 11701,03 57 51.74,-59 31 35.42,PRG
HRG 11702,03 58 27.86,-59 31 43.99,PRG
HRG 03101,04 00 06.84,-73 42 24.07,PRG
A 0358-1707,04 00 45.76,-16 58 37.21,PRG
HRG 01501,04 04 08.61,-82 20 28.52,PRG
AM 0403-555,04 04 16.30,-55 46 21.80,PRG
HRG 11801,04 09 02.55,-59 06 30.66,PRG
AM 0411-680,04 11 20.21,-67 55 15.40,PRG
HRG 15701,04 12 43.15,-57 44 14.71,PRG
AM 0412-525,04 13 50.63,-52 47 42.15,PRG
ESO 201-IG26,04 15 17.63,-50 56 40.65,PRG
HRG 20201,04 16 09.63,-49 13 48.18,PRG
A 0414-4756,04 16 18.68,-47 49 10.81,PRG
HRG 48401,04 16 29.45,-25 03 28.27,PRG
ESO 202-G01,04 16 29.79,-47 50 55.61,PRG
ESO 202-IG05,04 18 00.11,-50 02 40.35,PRG
HRG 00401,04 19 35.04,-84 46 48.90,PRG
AM 0417-391,04 19 39.48,-39 10 25.19,PRG
AM 0420-440,04 22 12.56,-43 58 18.19,PRG
HRG 20202,04 24 31.62,-49 34 28.39,PRG
AM 0425-421,04 26 36.57,-42 05 36.61,PRG
HRG 15702,04 28 41.67,-54 43 01.05,PRG
FM 251-10,04 30 21.02,-45 01 32.85,PRG
HRG 15703,04 35 11.89,-54 12 19.41,PRG
